GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; No bedroom:,Margin of Error; No bedroom:,Estimate; No bedroom: - With cash rent:,Margin of Error; No bedroom: - With cash rent:,Estimate; No bedroom: - With cash rent: - Less than $200,Margin of Error; No bedroom: - With cash rent: - Less than $200,Estimate; No bedroom: - With cash rent: - $200 to $299,Margin of Error; No bedroom: - With cash rent: - $200 to $299,Estimate; No bedroom: - With cash rent: - $300 to $499,Margin of Error; No bedroom: - With cash rent: - $300 to $499,Estimate; No bedroom: - With cash rent: - $500 to $749,Margin of Error; No bedroom: - With cash rent: - $500 to $749,Estimate; No bedroom: - With cash rent: - $750 to $999,Margin of Error; No bedroom: - With cash rent: - $750 to $999,"Estimate; No bedroom: - With cash rent: - $1,000 or more","Margin of Error; No bedroom: - With cash rent: - $1,000 or more",Estimate; No bedroom: - No cash rent,Margin of Error; No bedroom: - No cash rent,Estimate; 1 bedroom:,Margin of Error; 1 bedroom:,Estimate; 1 bedroom: - With cash rent:,Margin of Error; 1 bedroom: - With cash rent:,Estimate; 1 bedroom: - With cash rent: - Less than $200,Margin of Error; 1 bedroom: - With cash rent: - Less than $200,Estimate; 1 bedroom: - With cash rent: - $200 to $299,Margin of Error; 1 bedroom: - With cash rent: - $200 to $299,Estimate; 1 bedroom: - With cash rent: - $300 to $499,Margin of Error; 1 bedroom: - With cash rent: - $300 to $499,Estimate; 1 bedroom: - With cash rent: - $500 to $749,Margin of Error; 1 bedroom: - With cash rent: - $500 to $749,Estimate; 1 bedroom: - With cash rent: - $750 to $999,Margin of Error; 1 bedroom: - With cash rent: - $750 to $999,"Estimate; 1 bedroom: - With cash rent: - $1,000 or more","Margin of Error; 1 bedroom: - With cash rent: - $1,000 or more",Estimate; 1 bedroom: - No cash rent,Margin of Error; 1 bedroom: - No cash rent,Estimate; 2 bedrooms:,Margin of Error; 2 bedrooms:,Estimate; 2 bedrooms: - With cash rent:,Margin of Error; 2 bedrooms: - With cash rent:,Estimate; 2 bedrooms: - With cash rent: - Less than $200,Margin of Error; 2 bedrooms: - With cash rent: - Less than $200,Estimate; 2 bedrooms: - With cash rent: - $200 to $299,Margin of Error; 2 bedrooms: - With cash rent: - $200 to $299,Estimate; 2 bedrooms: - With cash rent: - $300 to $499,Margin of Error; 2 bedrooms: - With cash rent: - $300 to $499,Estimate; 2 bedrooms: - With cash rent: - $500 to $749,Margin of Error; 2 bedrooms: - With cash rent: - $500 to $749,Estimate; 2 bedrooms: - With cash rent: - $750 to $999,Margin of Error; 2 bedrooms: - With cash rent: - $750 to $999,"Estimate; 2 bedrooms: - With cash rent: - $1,000 or more","Margin of Error; 2 bedrooms: - With cash rent: - $1,000 or more",Estimate; 2 bedrooms: - No cash rent,Margin of Error; 2 bedrooms: - No cash rent,Estimate; 3 or more bedrooms:,Margin of Error; 3 or more bedrooms:,Estimate; 3 or more bedrooms: - With cash rent:,Margin of Error; 3 or more bedrooms: - With cash rent:,Estimate; 3 or more bedrooms: - With cash rent: - Less than $200,Margin of Error; 3 or more bedrooms: - With cash rent: - Less than $200,Estimate; 3 or more bedrooms: - With cash rent: - $200 to $299,Margin of Error; 3 or more bedrooms: - With cash rent: - $200 to $299,Estimate; 3 or more bedrooms: - With cash rent: - $300 to $499,Margin of Error; 3 or more bedrooms: - With cash rent: - $300 to $499,Estimate; 3 or more bedrooms: - With cash rent: - $500 to $749,Margin of Error; 3 or more bedrooms: - With cash rent: - $500 to $749,Estimate; 3 or more bedrooms: - With cash rent: - $750 to $999,Margin of Error; 3 or more bedrooms: - With cash rent: - $750 to $999,"Estimate; 3 or more bedrooms: - With cash rent: - $1,000 or more","Margin of Error; 3 or more bedrooms: - With cash rent: - $1,000 or more",Estimate; 3 or more bedrooms: - No cash rent,Margin of Error; 3 or more bedrooms: - No cash rent
0400000US06,06,California,5487934,19137,372358,4415,366510,4354,4934,557,17752,967,29541,1170,85145,2190,101028,2330,128110,2513,5848,598,1532111,7139,1509954,7249,11386,876,65120,1627,75647,1814,193993,2927,406754,4481,757054,5023,22157,1049,2108039,11412,2052757,11082,12639,831,20189,896,52298,1617,153662,2565,341409,4461,1472560,9545,55282,1624,1475426,14396,1383184,14096,5113,475,8582,639,29335,1186,70311,1956,118700,2465,1151143,12840,92242,2160
1600000US0606000,0606000,"Berkeley city, California",25696,704,3078,355,3078,355,40,53,240,109,97,50,590,146,836,182,1275,272,0,30,10532,630,10267,604,94,63,366,136,277,103,1166,184,1854,230,6510,522,265,131,8379,547,8177,529,69,83,138,100,107,72,416,140,1030,236,6417,440,202,96,3707,404,3369,356,80,68,33,30,86,63,214,86,241,97,2715,326,338,128
