GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; No bedroom:,Margin of Error; No bedroom:,Estimate; No bedroom: - With cash rent:,Margin of Error; No bedroom: - With cash rent:,Estimate; No bedroom: - With cash rent: - Less than $200,Margin of Error; No bedroom: - With cash rent: - Less than $200,Estimate; No bedroom: - With cash rent: - $200 to $299,Margin of Error; No bedroom: - With cash rent: - $200 to $299,Estimate; No bedroom: - With cash rent: - $300 to $499,Margin of Error; No bedroom: - With cash rent: - $300 to $499,Estimate; No bedroom: - With cash rent: - $500 to $749,Margin of Error; No bedroom: - With cash rent: - $500 to $749,Estimate; No bedroom: - With cash rent: - $750 to $999,Margin of Error; No bedroom: - With cash rent: - $750 to $999,"Estimate; No bedroom: - With cash rent: - $1,000 or more","Margin of Error; No bedroom: - With cash rent: - $1,000 or more",Estimate; No bedroom: - No cash rent,Margin of Error; No bedroom: - No cash rent,Estimate; 1 bedroom:,Margin of Error; 1 bedroom:,Estimate; 1 bedroom: - With cash rent:,Margin of Error; 1 bedroom: - With cash rent:,Estimate; 1 bedroom: - With cash rent: - Less than $200,Margin of Error; 1 bedroom: - With cash rent: - Less than $200,Estimate; 1 bedroom: - With cash rent: - $200 to $299,Margin of Error; 1 bedroom: - With cash rent: - $200 to $299,Estimate; 1 bedroom: - With cash rent: - $300 to $499,Margin of Error; 1 bedroom: - With cash rent: - $300 to $499,Estimate; 1 bedroom: - With cash rent: - $500 to $749,Margin of Error; 1 bedroom: - With cash rent: - $500 to $749,Estimate; 1 bedroom: - With cash rent: - $750 to $999,Margin of Error; 1 bedroom: - With cash rent: - $750 to $999,"Estimate; 1 bedroom: - With cash rent: - $1,000 or more","Margin of Error; 1 bedroom: - With cash rent: - $1,000 or more",Estimate; 1 bedroom: - No cash rent,Margin of Error; 1 bedroom: - No cash rent,Estimate; 2 bedrooms:,Margin of Error; 2 bedrooms:,Estimate; 2 bedrooms: - With cash rent:,Margin of Error; 2 bedrooms: - With cash rent:,Estimate; 2 bedrooms: - With cash rent: - Less than $200,Margin of Error; 2 bedrooms: - With cash rent: - Less than $200,Estimate; 2 bedrooms: - With cash rent: - $200 to $299,Margin of Error; 2 bedrooms: - With cash rent: - $200 to $299,Estimate; 2 bedrooms: - With cash rent: - $300 to $499,Margin of Error; 2 bedrooms: - With cash rent: - $300 to $499,Estimate; 2 bedrooms: - With cash rent: - $500 to $749,Margin of Error; 2 bedrooms: - With cash rent: - $500 to $749,Estimate; 2 bedrooms: - With cash rent: - $750 to $999,Margin of Error; 2 bedrooms: - With cash rent: - $750 to $999,"Estimate; 2 bedrooms: - With cash rent: - $1,000 or more","Margin of Error; 2 bedrooms: - With cash rent: - $1,000 or more",Estimate; 2 bedrooms: - No cash rent,Margin of Error; 2 bedrooms: - No cash rent,Estimate; 3 or more bedrooms:,Margin of Error; 3 or more bedrooms:,Estimate; 3 or more bedrooms: - With cash rent:,Margin of Error; 3 or more bedrooms: - With cash rent:,Estimate; 3 or more bedrooms: - With cash rent: - Less than $200,Margin of Error; 3 or more bedrooms: - With cash rent: - Less than $200,Estimate; 3 or more bedrooms: - With cash rent: - $200 to $299,Margin of Error; 3 or more bedrooms: - With cash rent: - $200 to $299,Estimate; 3 or more bedrooms: - With cash rent: - $300 to $499,Margin of Error; 3 or more bedrooms: - With cash rent: - $300 to $499,Estimate; 3 or more bedrooms: - With cash rent: - $500 to $749,Margin of Error; 3 or more bedrooms: - With cash rent: - $500 to $749,Estimate; 3 or more bedrooms: - With cash rent: - $750 to $999,Margin of Error; 3 or more bedrooms: - With cash rent: - $750 to $999,"Estimate; 3 or more bedrooms: - With cash rent: - $1,000 or more","Margin of Error; 3 or more bedrooms: - With cash rent: - $1,000 or more",Estimate; 3 or more bedrooms: - No cash rent,Margin of Error; 3 or more bedrooms: - No cash rent
0400000US06,06,California,5280802,20084,342212,4534,336302,4442,5169,525,17832,947,31714,1259,89868,2165,96463,2128,95256,2337,5910,610,1535827,8511,1512207,8242,11303,756,67039,1727,82070,2375,230572,3476,451514,5060,669709,5149,23620,1199,2071371,11184,2013031,11237,12587,993,20147,1034,58440,1545,173980,2587,381276,4877,1366601,9141,58340,1570,1331392,14187,1244385,14154,4534,504,8670,669,32153,1120,73249,1771,117585,2808,1008194,12428,87007,2287
1600000US0606000,0606000,"Berkeley city, California",24471,927,2689,330,2689,330,37,48,179,102,124,80,469,136,1075,210,805,217,0,132,10495,672,10272,659,104,62,312,126,250,99,1355,227,2202,305,6049,553,223,95,8013,448,7874,441,79,77,140,98,50,49,487,129,1116,210,6002,396,139,71,3274,385,3011,372,35,57,41,49,79,71,211,108,386,135,2259,316,263,114
