GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; No bedroom:,Margin of Error; No bedroom:,Estimate; No bedroom: - With cash rent:,Margin of Error; No bedroom: - With cash rent:,Estimate; No bedroom: - With cash rent: - Less than $300,Margin of Error; No bedroom: - With cash rent: - Less than $300,Estimate; No bedroom: - With cash rent: - $300 to $499,Margin of Error; No bedroom: - With cash rent: - $300 to $499,Estimate; No bedroom: - With cash rent: - $500 to $749,Margin of Error; No bedroom: - With cash rent: - $500 to $749,Estimate; No bedroom: - With cash rent: - $750 to $999,Margin of Error; No bedroom: - With cash rent: - $750 to $999,"Estimate; No bedroom: - With cash rent: - $1,000 to $1,499","Margin of Error; No bedroom: - With cash rent: - $1,000 to $1,499","Estimate; No bedroom: - With cash rent: - $1,500 or more","Margin of Error; No bedroom: - With cash rent: - $1,500 or more",Estimate; No bedroom: - No cash rent,Margin of Error; No bedroom: - No cash rent,Estimate; 1 bedroom:,Margin of Error; 1 bedroom:,Estimate; 1 bedroom: - With cash rent:,Margin of Error; 1 bedroom: - With cash rent:,Estimate; 1 bedroom: - With cash rent: - Less than $300,Margin of Error; 1 bedroom: - With cash rent: - Less than $300,Estimate; 1 bedroom: - With cash rent: - $300 to $499,Margin of Error; 1 bedroom: - With cash rent: - $300 to $499,Estimate; 1 bedroom: - With cash rent: - $500 to $749,Margin of Error; 1 bedroom: - With cash rent: - $500 to $749,Estimate; 1 bedroom: - With cash rent: - $750 to $999,Margin of Error; 1 bedroom: - With cash rent: - $750 to $999,"Estimate; 1 bedroom: - With cash rent: - $1,000 to $1,499","Margin of Error; 1 bedroom: - With cash rent: - $1,000 to $1,499","Estimate; 1 bedroom: - With cash rent: - $1,500 or more","Margin of Error; 1 bedroom: - With cash rent: - $1,500 or more",Estimate; 1 bedroom: - No cash rent,Margin of Error; 1 bedroom: - No cash rent,Estimate; 2 bedrooms:,Margin of Error; 2 bedrooms:,Estimate; 2 bedrooms: - With cash rent:,Margin of Error; 2 bedrooms: - With cash rent:,Estimate; 2 bedrooms: - With cash rent: - Less than $300,Margin of Error; 2 bedrooms: - With cash rent: - Less than $300,Estimate; 2 bedrooms: - With cash rent: - $300 to $499,Margin of Error; 2 bedrooms: - With cash rent: - $300 to $499,Estimate; 2 bedrooms: - With cash rent: - $500 to $749,Margin of Error; 2 bedrooms: - With cash rent: - $500 to $749,Estimate; 2 bedrooms: - With cash rent: - $750 to $999,Margin of Error; 2 bedrooms: - With cash rent: - $750 to $999,"Estimate; 2 bedrooms: - With cash rent: - $1,000 to $1,499","Margin of Error; 2 bedrooms: - With cash rent: - $1,000 to $1,499","Estimate; 2 bedrooms: - With cash rent: - $1,500 or more","Margin of Error; 2 bedrooms: - With cash rent: - $1,500 or more",Estimate; 2 bedrooms: - No cash rent,Margin of Error; 2 bedrooms: - No cash rent,Estimate; 3 or more bedrooms:,Margin of Error; 3 or more bedrooms:,Estimate; 3 or more bedrooms: - With cash rent:,Margin of Error; 3 or more bedrooms: - With cash rent:,Estimate; 3 or more bedrooms: - With cash rent: - Less than $300,Margin of Error; 3 or more bedrooms: - With cash rent: - Less than $300,Estimate; 3 or more bedrooms: - With cash rent: - $300 to $499,Margin of Error; 3 or more bedrooms: - With cash rent: - $300 to $499,Estimate; 3 or more bedrooms: - With cash rent: - $500 to $749,Margin of Error; 3 or more bedrooms: - With cash rent: - $500 to $749,Estimate; 3 or more bedrooms: - With cash rent: - $750 to $999,Margin of Error; 3 or more bedrooms: - With cash rent: - $750 to $999,"Estimate; 3 or more bedrooms: - With cash rent: - $1,000 to $1,499","Margin of Error; 3 or more bedrooms: - With cash rent: - $1,000 to $1,499","Estimate; 3 or more bedrooms: - With cash rent: - $1,500 or more","Margin of Error; 3 or more bedrooms: - With cash rent: - $1,500 or more",Estimate; 3 or more bedrooms: - No cash rent,Margin of Error; 3 or more bedrooms: - No cash rent
0400000US06,06,California,5808625,20821,387742,3844,381498,3976,23887,1110,29127,1182,78447,1967,100029,2333,93146,2150,56862,1854,6244,453,1557738,8191,1533558,8102,73816,1934,74338,1788,181292,3003,381107,4021,540498,5471,282507,3632,24180,1156,2217726,10621,2157691,10717,35134,1390,50023,1514,151529,2811,343857,4016,851584,6214,725564,5529,60035,1575,1645419,14154,1549646,14084,13840,774,29463,1317,72135,1566,130103,2864,414586,5643,889519,9588,95773,2096
1600000US0606000,0606000,"Berkeley city, California",26334,759,3453,379,3444,383,252,90,148,68,610,144,818,200,1207,193,409,147,9,14,10483,674,10315,677,571,163,353,98,994,221,1392,203,4240,428,2765,340,168,106,8438,485,8179,472,125,72,63,42,421,102,640,142,2115,268,4815,429,259,114,3960,343,3694,321,93,86,88,48,219,95,221,105,572,170,2501,255,266,99
1600000US3651000,3651000,"New York city, New York",2122185,6571,192743,3174,188408,3224,15554,1023,10822,759,18160,1132,28461,1293,54462,1772,60949,2083,4335,497,800469,6069,785760,5824,53656,1548,39577,1525,54626,1553,108879,2728,298964,4011,230058,3470,14709,840,743499,5017,721774,4907,36742,1408,42841,1516,57447,1624,85950,2181,251386,3218,247408,3153,21725,1078,385474,3972,369766,3939,15372,1015,21375,1150,28997,1375,35426,1318,91161,2271,177435,2919,15708,914
