GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Median gross rent -- - Total:,Margin of Error; Median gross rent -- - Total:,Estimate; Median gross rent -- - Total: - Built 2005 or later,Margin of Error; Median gross rent -- - Total: - Built 2005 or later,Estimate; Median gross rent -- - Total: - Built 2000 to 2004,Margin of Error; Median gross rent -- - Total: - Built 2000 to 2004,Estimate; Median gross rent -- - Total: - Built 1990 to 1999,Margin of Error; Median gross rent -- - Total: - Built 1990 to 1999,Estimate; Median gross rent -- - Total: - Built 1980 to 1989,Margin of Error; Median gross rent -- - Total: - Built 1980 to 1989,Estimate; Median gross rent -- - Total: - Built 1970 to 1979,Margin of Error; Median gross rent -- - Total: - Built 1970 to 1979,Estimate; Median gross rent -- - Total: - Built 1960 to 1969,Margin of Error; Median gross rent -- - Total: - Built 1960 to 1969,Estimate; Median gross rent -- - Total: - Built 1950 to 1959,Margin of Error; Median gross rent -- - Total: - Built 1950 to 1959,Estimate; Median gross rent -- - Total: - Built 1940 to 1949,Margin of Error; Median gross rent -- - Total: - Built 1940 to 1949,Estimate; Median gross rent -- - Total: - Built 1939 or earlier,Margin of Error; Median gross rent -- - Total: - Built 1939 or earlier
0400000US06,06,California,1147,2,1374,16,1375,12,1240,8,1169,5,1145,4,1123,4,1118,5,1061,8,1056,7
1600000US0606000,0606000,"Berkeley city, California",1177,26,1016,872,1690,214,1119,96,1304,121,1184,61,1175,76,1054,80,1185,99,1183,48
1600000US3651000,3651000,"New York city, New York",1071,3,1483,46,1413,37,1163,20,1155,18,1031,12,1003,11,978,8,1058,7,1095,4
