GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; No bedroom:,Margin of Error; No bedroom:,Estimate; No bedroom: - With cash rent:,Margin of Error; No bedroom: - With cash rent:,Estimate; No bedroom: - With cash rent: - Less than $200,Margin of Error; No bedroom: - With cash rent: - Less than $200,Estimate; No bedroom: - With cash rent: - $200 to $299,Margin of Error; No bedroom: - With cash rent: - $200 to $299,Estimate; No bedroom: - With cash rent: - $300 to $499,Margin of Error; No bedroom: - With cash rent: - $300 to $499,Estimate; No bedroom: - With cash rent: - $500 to $749,Margin of Error; No bedroom: - With cash rent: - $500 to $749,Estimate; No bedroom: - With cash rent: - $750 to $999,Margin of Error; No bedroom: - With cash rent: - $750 to $999,"Estimate; No bedroom: - With cash rent: - $1,000 or more","Margin of Error; No bedroom: - With cash rent: - $1,000 or more",Estimate; No bedroom: - No cash rent,Margin of Error; No bedroom: - No cash rent,Estimate; 1 bedroom:,Margin of Error; 1 bedroom:,Estimate; 1 bedroom: - With cash rent:,Margin of Error; 1 bedroom: - With cash rent:,Estimate; 1 bedroom: - With cash rent: - Less than $200,Margin of Error; 1 bedroom: - With cash rent: - Less than $200,Estimate; 1 bedroom: - With cash rent: - $200 to $299,Margin of Error; 1 bedroom: - With cash rent: - $200 to $299,Estimate; 1 bedroom: - With cash rent: - $300 to $499,Margin of Error; 1 bedroom: - With cash rent: - $300 to $499,Estimate; 1 bedroom: - With cash rent: - $500 to $749,Margin of Error; 1 bedroom: - With cash rent: - $500 to $749,Estimate; 1 bedroom: - With cash rent: - $750 to $999,Margin of Error; 1 bedroom: - With cash rent: - $750 to $999,"Estimate; 1 bedroom: - With cash rent: - $1,000 or more","Margin of Error; 1 bedroom: - With cash rent: - $1,000 or more",Estimate; 1 bedroom: - No cash rent,Margin of Error; 1 bedroom: - No cash rent,Estimate; 2 bedrooms:,Margin of Error; 2 bedrooms:,Estimate; 2 bedrooms: - With cash rent:,Margin of Error; 2 bedrooms: - With cash rent:,Estimate; 2 bedrooms: - With cash rent: - Less than $200,Margin of Error; 2 bedrooms: - With cash rent: - Less than $200,Estimate; 2 bedrooms: - With cash rent: - $200 to $299,Margin of Error; 2 bedrooms: - With cash rent: - $200 to $299,Estimate; 2 bedrooms: - With cash rent: - $300 to $499,Margin of Error; 2 bedrooms: - With cash rent: - $300 to $499,Estimate; 2 bedrooms: - With cash rent: - $500 to $749,Margin of Error; 2 bedrooms: - With cash rent: - $500 to $749,Estimate; 2 bedrooms: - With cash rent: - $750 to $999,Margin of Error; 2 bedrooms: - With cash rent: - $750 to $999,"Estimate; 2 bedrooms: - With cash rent: - $1,000 or more","Margin of Error; 2 bedrooms: - With cash rent: - $1,000 or more",Estimate; 2 bedrooms: - No cash rent,Margin of Error; 2 bedrooms: - No cash rent,Estimate; 3 or more bedrooms:,Margin of Error; 3 or more bedrooms:,Estimate; 3 or more bedrooms: - With cash rent:,Margin of Error; 3 or more bedrooms: - With cash rent:,Estimate; 3 or more bedrooms: - With cash rent: - Less than $200,Margin of Error; 3 or more bedrooms: - With cash rent: - Less than $200,Estimate; 3 or more bedrooms: - With cash rent: - $200 to $299,Margin of Error; 3 or more bedrooms: - With cash rent: - $200 to $299,Estimate; 3 or more bedrooms: - With cash rent: - $300 to $499,Margin of Error; 3 or more bedrooms: - With cash rent: - $300 to $499,Estimate; 3 or more bedrooms: - With cash rent: - $500 to $749,Margin of Error; 3 or more bedrooms: - With cash rent: - $500 to $749,Estimate; 3 or more bedrooms: - With cash rent: - $750 to $999,Margin of Error; 3 or more bedrooms: - With cash rent: - $750 to $999,"Estimate; 3 or more bedrooms: - With cash rent: - $1,000 or more","Margin of Error; 3 or more bedrooms: - With cash rent: - $1,000 or more",Estimate; 3 or more bedrooms: - No cash rent,Margin of Error; 3 or more bedrooms: - No cash rent
0400000US06,06,California,5377530,19595,360202,4625,354573,4504,4822,548,17816,1001,29995,1247,86691,1947,100215,2456,115034,2915,5629,564,1528569,9436,1505798,9233,10736,684,66853,1694,78380,1942,206000,3089,422558,4548,721271,6214,22771,1056,2086525,10680,2029140,10885,12463,830,19669,956,54628,1518,160201,3039,354322,4153,1427857,8893,57385,1767,1402234,14183,1312338,14080,4807,459,8247,659,30828,1133,71069,1938,116970,2224,1080417,12911,89896,1998
1600000US0606000,0606000,"Berkeley city, California",25384,831,2837,330,2837,330,37,49,150,78,88,54,522,153,991,196,1049,196,0,95,10675,618,10437,628,91,64,400,134,241,91,1268,236,2127,296,6310,539,238,108,8446,590,8195,569,55,59,133,89,108,83,439,153,1104,207,6356,542,251,124,3426,424,3174,395,59,68,45,52,65,60,227,88,275,114,2503,355,252,122
1600000US3651000,3651000,"New York city, New York",2056467,6108,182044,3295,178714,3268,2544,447,12408,841,11957,810,23481,1308,35695,1192,92629,2434,3330,478,786490,5453,772201,5434,10900,678,42767,1482,44795,1453,83397,2092,151069,2536,439273,4211,14289,954,720777,4741,700804,4767,11544,877,27801,1323,42866,1511,79025,1959,112395,2598,427173,4467,19973,1063,367156,4523,351693,4502,5020,668,12181,762,20924,1061,34875,1264,40106,1524,238587,3529,15463,1002
