GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; No bedroom:,Margin of Error; No bedroom:,Estimate; No bedroom: - With cash rent:,Margin of Error; No bedroom: - With cash rent:,Estimate; No bedroom: - With cash rent: - Less than $200,Margin of Error; No bedroom: - With cash rent: - Less than $200,Estimate; No bedroom: - With cash rent: - $200 to $299,Margin of Error; No bedroom: - With cash rent: - $200 to $299,Estimate; No bedroom: - With cash rent: - $300 to $499,Margin of Error; No bedroom: - With cash rent: - $300 to $499,Estimate; No bedroom: - With cash rent: - $500 to $749,Margin of Error; No bedroom: - With cash rent: - $500 to $749,Estimate; No bedroom: - With cash rent: - $750 to $999,Margin of Error; No bedroom: - With cash rent: - $750 to $999,"Estimate; No bedroom: - With cash rent: - $1,000 or more","Margin of Error; No bedroom: - With cash rent: - $1,000 or more",Estimate; No bedroom: - No cash rent,Margin of Error; No bedroom: - No cash rent,Estimate; 1 bedroom:,Margin of Error; 1 bedroom:,Estimate; 1 bedroom: - With cash rent:,Margin of Error; 1 bedroom: - With cash rent:,Estimate; 1 bedroom: - With cash rent: - Less than $200,Margin of Error; 1 bedroom: - With cash rent: - Less than $200,Estimate; 1 bedroom: - With cash rent: - $200 to $299,Margin of Error; 1 bedroom: - With cash rent: - $200 to $299,Estimate; 1 bedroom: - With cash rent: - $300 to $499,Margin of Error; 1 bedroom: - With cash rent: - $300 to $499,Estimate; 1 bedroom: - With cash rent: - $500 to $749,Margin of Error; 1 bedroom: - With cash rent: - $500 to $749,Estimate; 1 bedroom: - With cash rent: - $750 to $999,Margin of Error; 1 bedroom: - With cash rent: - $750 to $999,"Estimate; 1 bedroom: - With cash rent: - $1,000 or more","Margin of Error; 1 bedroom: - With cash rent: - $1,000 or more",Estimate; 1 bedroom: - No cash rent,Margin of Error; 1 bedroom: - No cash rent,Estimate; 2 bedrooms:,Margin of Error; 2 bedrooms:,Estimate; 2 bedrooms: - With cash rent:,Margin of Error; 2 bedrooms: - With cash rent:,Estimate; 2 bedrooms: - With cash rent: - Less than $200,Margin of Error; 2 bedrooms: - With cash rent: - Less than $200,Estimate; 2 bedrooms: - With cash rent: - $200 to $299,Margin of Error; 2 bedrooms: - With cash rent: - $200 to $299,Estimate; 2 bedrooms: - With cash rent: - $300 to $499,Margin of Error; 2 bedrooms: - With cash rent: - $300 to $499,Estimate; 2 bedrooms: - With cash rent: - $500 to $749,Margin of Error; 2 bedrooms: - With cash rent: - $500 to $749,Estimate; 2 bedrooms: - With cash rent: - $750 to $999,Margin of Error; 2 bedrooms: - With cash rent: - $750 to $999,"Estimate; 2 bedrooms: - With cash rent: - $1,000 or more","Margin of Error; 2 bedrooms: - With cash rent: - $1,000 or more",Estimate; 2 bedrooms: - No cash rent,Margin of Error; 2 bedrooms: - No cash rent,Estimate; 3 or more bedrooms:,Margin of Error; 3 or more bedrooms:,Estimate; 3 or more bedrooms: - With cash rent:,Margin of Error; 3 or more bedrooms: - With cash rent:,Estimate; 3 or more bedrooms: - With cash rent: - Less than $200,Margin of Error; 3 or more bedrooms: - With cash rent: - Less than $200,Estimate; 3 or more bedrooms: - With cash rent: - $200 to $299,Margin of Error; 3 or more bedrooms: - With cash rent: - $200 to $299,Estimate; 3 or more bedrooms: - With cash rent: - $300 to $499,Margin of Error; 3 or more bedrooms: - With cash rent: - $300 to $499,Estimate; 3 or more bedrooms: - With cash rent: - $500 to $749,Margin of Error; 3 or more bedrooms: - With cash rent: - $500 to $749,Estimate; 3 or more bedrooms: - With cash rent: - $750 to $999,Margin of Error; 3 or more bedrooms: - With cash rent: - $750 to $999,"Estimate; 3 or more bedrooms: - With cash rent: - $1,000 or more","Margin of Error; 3 or more bedrooms: - With cash rent: - $1,000 or more",Estimate; 3 or more bedrooms: - No cash rent,Margin of Error; 3 or more bedrooms: - No cash rent
0400000US06,06,California,5708355,17527,368744,4164,362942,4228,5234,485,17472,1001,27429,1292,77097,2150,99118,2031,136592,2930,5802,495,1556829,7359,1533478,7253,12432,676,62993,1697,74338,1820,183695,2786,391534,4353,808486,5377,23351,1182,2181256,8848,2122914,8519,13385,805,21558,994,50015,1473,147328,2742,336941,3585,1553687,7855,58342,1752,1601526,13686,1507226,13618,5001,492,8391,612,29467,1098,69812,1820,124837,2539,1269718,12422,94300,2024
1600000US0606000,0606000,"Berkeley city, California",26476,766,3279,358,3269,357,79,65,229,125,129,78,638,137,780,178,1414,263,10,15,10379,648,10221,627,42,41,427,163,348,101,862,164,1586,271,6956,578,158,107,8816,578,8610,558,67,66,168,116,127,102,417,132,747,173,7084,522,206,109,4002,342,3668,336,0,29,82,83,90,59,265,94,236,100,2995,279,334,109
